Speaker,Dialogue
Chandler,"Ah-ha, you’re not the boss of me. Yeah, you are! Ooh, saucy."
Joanna,I’ll be back in ten minutes.
Chandler,"You are, you’re gonna leave me like this?"
Joanna,"Knowing you’re here, waiting for me I think it’s kinda exciting."
Chandler,"Okay. But if you don’t come back soon, there’s pretty much nothing I can do about it!"
Joanna,Oh.
Sophie,Hi! I brought you back a macaroon!
Joanna,Oh great! I’ll keep it in my butt with your nose.
Rachel,"That’s weird, she locked the door."
Sophie,Y’know why? She’s got the Christmas bonus list in there. I saw her working on it this morning.
Rachel,"Okay, swear you won’t tell, but when Mark left he gave me a key to Joanna’s office. Do you wanna see the list?"
Sophie,Yeah!
Chandler,Hi! How are you? Commercial Break
Chandler,"Hello, Joanna……’s office."
Joanna,I’m really sorry but I may be a little while longer.
Chandler,How little?!
Joanna,"A couple of hours, I feel awful."
Chandler,"Look, this isn’t funny! You get back here right now!"
Joanna,I can’t!!
Chandler,Why not?!
Joanna,I’m in my boss’s car!
Chandler,What?!
Joanna,"Uh-oh, tunnel."
Rachel,What?!
Chandler,"Rachel, could I see you for a moment?"
Chandler,"Okay, here’s the situation. The keys to the cuffs are on the back of the door. Could you be a doll and grab them and scoot on over and unlock me? And on a totally different subject, that is a lovely pantsuit."
Rachel,You promised you would break up with her!
Chandler,"I did break up with her! She just took it really, really well!"
Rachel,And the fact that you were jeopardising my career never entered your mind?!
Chandler,"It did enter my mind! But then something happened that made it, shoot right out."
Rachel,"Y'know what Chandler, you got yourself into those cuffs, you get yourself out of them."
Chandler,"No-no-no-no-no-no-no!! I can’t get myself right out of them! You must have me confused with the Amazing Chandler!! Come on, you have to unlock me, she could be gone for hours, and I’m cold, and"
Rachel,"Oh, Chandler!! All right, this is it! You never see Joanna again!"
Chandler,Never!
Rachel,You never come into this office again!
Chandler,Fine!
Rachel,You give me back my Walkman!
Chandler,I—never borrowed your Walkman.
Rachel,"Well, then I lost it. You buy me one!"
Chandler,You got it! Here we go! Come on! This is great! Ahhh!
Rachel,Does it hurt?
Chandler,"No, I just always see guys doing this when they get handcuffs taken off them. Hello sweet pants!"
Rachel,Wait a minute! What are you gonna tell Joanna?
Chandler,About what?
Rachel,"When she sees that you’re gone, she’s gonna know that I let you out, and that I was in here, and I’m gonna get fired!"
Chandler,"I’ll make something up! I’m good at lying, I actually did borrow your Walkman!"
Rachel,"No, there’s nothing to make up, she’s gonna know that I have a key to her office, I’ve got to get you locked up back the way you were!"
Chandler,"Oh-ho-ho, I don’t think so!"
Chandler,"Well, this is much better."
Joey,He cut off his ear. The Salesman: And?
Joey,I’m out. The Salesman: He painted that.
Joey,"Wow! That’s pretty nice. I thought he cut off his ear ‘cause he sucked. What else you got in there? The Salesman: Let’s see, ahhh… Where does the Pope live?"
Joey,"In the woods. No wait-wait, that’s the joke answer. The Salesman: Actually its, Vatican City. Now ahh, what do you know about vulcanised rubber?"
Joey,Spock’s birth control. The Salesman: You need these books.
Phoebe,Hey!
Monica,Hi.
Phoebe,This used to be your room? Wow! You must’ve been in really good shape as a kid.
Monica,"Ohh, I’m such an idiot. I can’t believe I actually thought she could change."
Phoebe,"Well, who cares what your Mom thinks? So you pulled a Monica."
Monica,"Oh good, I’m glad that’s catching on."
Phoebe,"No but, why does that have to be a bad thing. Just change what it means. Y'know? Go down there and prove your Mother wrong. Finish the job you were hired to do, and we’ll call that pulling a Monica."
Monica,What?
Phoebe,"Okay, umm, if a kid gets straight A’s, his parents would say, ""Yeah, he pulled a Monica."" Y'know? Or a fireman saves a baby, and they go, ""Yeah I know, he pulled a Monica."" Or someone hits a homerun and the announcer says, ""Yeah, that one’s outta here."" Though some things don’t change."
Monica,"All right, I’ll go down there. But, I’m not gonna serve the lasagna. I’m gonna serve something I make."
Phoebe,Wow! My breasts are really strong.
Rachel,"Chandler! Chandler, please, I have to get you locked up back the way you were, I am sooo gonna lose my job, she’s very private about her office. Now I know why."
Chandler,"Hey, look, you’re in trouble either way! Okay? If she comes back and sees me locked to this instead of the chair, she’s gonna know you were in here. So you might as well just let me go."
Rachel,What if I clean your bathroom for a month?
Chandler,It still wouldn’t be clean. All I want is my freedom.
Rachel,Foot rubs for a month!
Chandler,Freedom!
Rachel,I’ll take all of your photos and put them into photo albums!
Chandler,"Freedom! I want my freedom! Why won’t you here me?! Sophie, help me! Help me!!"
Rachel,Sophie sit!!
Rachel,"No! God, would you just calm down!"
Chandler,I’m gonna say this for the last time. Would you please just…
Joey,"Wow! There’s a lot I didn’t know about vomit. In a minute. The Salesman: So, what do you say, Joey? You get the whole set of encyclopedias for twelve hundred dollars, which works out to just 50 bucks a book!"
Joey,"Twelve hundred dollars? You think I have $1200? I’m home in the middle of the day, and I got patio furniture in my living room. I guess there’s a few things you don’t get from book learnin’. The Salesman: Well ah, what can you swing?"
Joey,"How about zero down and zero a month for a long, long time? The Salesman: You don’t have, anything?"
Joey,"You wanna see what I got? Okay? I’ve got a baby Tootsie Roll, a movie stub, keys, a Kleenex, a rock, and an army man. Hey! The Salesman: Okay, I-I get the picture. Uh, thanks, for your time."
Joey,"And a 50. Huh, these must be Chandler’s pants. The Salesman: For 50 bucks, you can get one book! What will it be? A? B? C?"
Joey,"Oh, I-I think I’m gonna stick with the V, I wanna see how this bad boy turns out."
Rachel,"I ah, will buy and wrap all of your Christmas gifts."
Chandler,No!
Rachel,I ah… Oh! I’ll squeeze you fresh orange juice every morning!
Chandler,With extra pulp?
Rachel,Yeah!!
Chandler,No!
Rachel,D’oh!! I’ve got it!
Chandler,You don’t have it.
Rachel,"I have so got it. There’s gonna be rumours about this, there’s no way to stop it. Sophie knows, Monica and Phoebe know."
Chandler,How do Monica and Phoebe know?
Rachel,"Oh, I called them. And when they ask me what I saw, I can be very generous or very stingy."
Chandler,Go on.
Rachel,I can make you a legend. I can make you this generation’s Milton Berle.
Chandler,And Milton Berle has a…
Rachel,"Ohh, not compared to you."
Monica,Well?
Phoebe,They’re not even touching the lasagna!
Monica,Really?!
Phoebe,"Oh, they love your casserole."
Monica,Yes!!
Phoebe,"It’s hard to believe that just a little while ago this was nothing but ingredients. Mrs. Geller: Well, everyone seems to be enjoying your dish."
Monica,And you? Mrs. Geller: I thought it was… quite tasty.
Monica,"So if everyone liked it, and you liked it, that would make this a success. Which would make you… Mrs. Geller: A bitch?"
Monica,"Well, I was going for wrong, but we can use your word. Mrs. Geller: Yes, well I was wrong, and I have to say you really impressed me today."
Monica,Wow!
Phoebe,"Umm, you might even say that she pulled a Monica. She doesn’t know we switched it. Mrs. Geller: And the next time you cater for me, there will be nothing but ice in the freezer."
Monica,"That really means a lot. Oh, and Mom, don’t bite your nails."
Chandler,"Hello. Joey, Rachel, and Ross: Hey!"
Monica,"Hello, Chandler."
Chandler,I love you.
Joey,Wh-what’s going on?
Phoebe,Oh.
Joey,No he doesn’t!
Chandler,"Two hours, that lasted!"
Rachel,So did you break up with Joanna?
Chandler,I think so.
Joey,"Well, it’s good thing you got out when you did, before she blew up like that Vesuvius."
Ross,The volcano?
Joey,"Yeah. And speaking of volcanoes, man are they a violent igneous rock formation."
Rachel,What?!
Joey,"Oh yeah, lava spewing, hot ash, of course some are dormant."
Monica,Why are you talking about volcanoes all of the sudden?
Joey,"Well, we can talk about something else. What do you want to talk about? Vivisection? The Vasdeferens? The Vietnam War?"
Monica,Oh! Did anybody see that-that documentary on the Korean War?
Phoebe,"Oh God, Korea is such a beautiful country."
Ross,With such a sad history.
Chandler,Could there be more Kims? Closing Credits
Joanna,Who’s out there?
Rachel,It’s me! Good morning!
Joanna,"Rachel, could you come in here for a moment, please?"
Rachel,"Yeah, sure. Umm, they didn’t have poppy seed bagels, so I… Oh my word!"
Joanna,I seem to have had a slight office mishap. Could you please get the key off the back of the door for me.
Rachel,"Oh, yeah! Yeah!"
Joanna,You tell your friend Chandler that we’re definately broken up this time.
Rachel,Okay. End
Phoebe,"Hey! New wallet, huh?"
Chandler,"Yeah, it was time. The old condom ring in the leather just doesn’t say ‘cool’ anymore."
Monica,Rachel!
Rachel,What?
Monica,You just put an empty carton back in the fridge!
Rachel,"Oh yeah, I know, but the garbage was full."
Monica,Have you ever taken out the trash?
Rachel,"Well, I thought you liked doing it."
Monica,Third door on the left.
Rachel,Right!
Rachel,"Oh! Hey, Mr. Treeger. Mr. Treeger:: Hey. Mr. Treeger:: What are you doing?"
Rachel,Ummm. Oh! I’m sorry. It’s a little old but… Mr. Treeger:: No! You’re clogging up the chute that I spent a half-hour unclogging!
Rachel,"I’m sorry. I didn’t—I don’t come in here a lot. Mr. Treeger:: Oh yeah, of course you don’t!"
Rachel,"No. Mr. Treeger:: ‘Cause you’re a little princess! ""Daddy, buy me a pizza. Daddy, buy me a candy factory. Daddy, make the cast of Cats sing Happy Birthday to me…"""
Rachel,"I didn’t… I never said that. Mr. Treeger:: You think you could make a mess and the big man in coveralls will come in here and clean it up, huh? Well, why don’t think of someone else for a change?"
Rachel,"Okay, I’m sorry."
Monica,Opening Credits
Joey,"Whoa-whoa, Treeger made you cry?"
Rachel,Yes! And he said really mean things that were only partly true.
Joey,I’m gonna go down there and teach that guy a lesson.
Monica,"Joey, please don’t do that. I think it’s best that we just forget about it."
Rachel,"That’s easy for you to say, you weren’t almost just killed."
Joey,"All right that’s it, school is in session!"
Monica,My God! Is this a gym card?
Chandler,"Oh yeah, gym member. I try to go four times a week, but I’ve missed the last 1200 times."
Ross,So why don’t you quit?
Chandler,"You don’t think I’ve tried? You think I like having 50 dollars taken out of my bank account every month? No, they make you go all the way down there! Then they use all of these phrases and peppiness to try and confuse you! Then they bring out Maria."
Ross,Who is Maria?
Chandler,"Oh Maria. You can’t say no to her, she’s like this lycra spandex covered gym…treat."
Ross,You need me to go down there with you and hold your hand?
Chandler,No!
Ross,So you’re strong enough to face her on your own?
Chandler,"Oh no, you’ll have to come."
Joey,"Hey! You hold on pal! Now you made my friend, Rachel, cry. So now, you’re gonna go up there and apologize to her, unless you want me to call the landlord. Mr. Treeger:: And tell him what?"
Joey,"Have you heard about a little something called, Not Making Girls Cry. Mr. Treeger:: Yeah. Well maybe you have heard about the Rent Stabilization Act of 1968!"
Joey,"I have actually not heard of that. Mr. Treeger:: Yeah, well your friends are in violation of it. I’ve been a nice guy up until now, but uh, I don’t need this grief. I’m gonna call the landlord and tell him that Monica is illegally subletting here grandmother’s apartment. Your friends are outta here pal."
Joey,Why don’t you tell me something I don’t know!
Phoebe,"Oh please, somebody tell me I don’t have to go to work today!"
Monica,What’s the matter?
Phoebe,"Oh, my first massage today is this incredibly gorgeous guy, and every time I see him I just want to do things to him that I’m not allowed to charge for."
Monica,So do them for free.
Phoebe,"Oh no, it is forbidden! No-no, Mrs. Potter fires people for fooling around with clients. And it’s against my oath as a masseuse."
Ross,They make you take an oath?
Phoebe,"No, I made myself take an oath. Yeah, no fooling around with clients and umm, always be prepared. Yeah, that one’s actually from the Boy Scouts, but it just makes good sense."
Chandler,Why don’t you just give him to somebody else?
Phoebe,"No, I can handle it. No, I’m a professional."
Rachel,"Oh Pheebs, is that a new ankle bracelet?"
Monica,Wow! And you got a petticure. Your feet are all dressed up.
Chandler,Because that’s the only part of you he can see when he’s on the table!
Monica,You’re gonna do some feet flirtin’!
Phoebe,I don’t what your talking about.
Ross,Then how do you explain the toe ring?!
Phoebe,Because it’s Arabian princess day at work! Okay?! Leave me alone!
Rachel,Oh! My hero! What happened?
Joey,"Well uh, I went down there and told him that no one treats my friends like that and that he’d better come up here and apologize. I’ll see you later."
Monica,"What a minute, what did he say?"
Joey,"He said that he wasn’t gonna apologize because you guys are living here illegally, so instead what he’s gonna do is have you evicted—I’ll see you later."
Rachel,What?! You got us evicted!!
Monica,I told you not to go down there!
Joey,Well he made Rachel cry!
Monica,Rachel always cries!
Rachel,That’s not true!
Monica,"Now Joey, you go down there and you suck up to him. I mean you suck like you’ve never sucked before!"
Joey,"All right! I’ll try! But if I can’t, you can stay with Chandler and I until you get settled."
Rachel,Go!!
Joey,"All right, all right, all right. I mean I’ll have to check with him first, but I’ll think he’ll be cool with it."
Ross,"Whoa-whoa-whoa, hey! Now remember what we talked about, you gotta be strong."
Chandler,Yes. Yes!
Ross,"One more time, ""Hey, don’t you want a washboard stomach and rock hard pecs?"""
Chandler,No! I want a flabby gut and saggy man breasts!
Ross,Good! That’s good!
Chandler,Okay. I wanna quit the gym. Gym Employee: You wanna quit?
Chandler,I wanna quit the gym. Gym Employee: You do realize that you won’t have access to our new full service Swedish spa.
Chandler,"I wanna quit the gym. Gym Employee: Okay, Dave in the membership office, handles quitters. Uh, excuse me, are you a member?"
Ross,"Me? No. Gym Employee: Sorry, members only."
Chandler,I wanna quit the gym.
Ross,"It’s okay man, be strong. Gym Employee: So, are you a member of any gym."
Ross,"No! And I’m not gonna be, so you can save you little speech. Gym Employee: Okay, no problem. Could you come here for a second?"
Woman,"Hi, I’m Maria."
Rick,"Wow, you have really pretty feet."
Phoebe,These old things.
Rick,"Would you mind spending some time on my siadic area, it’s been killing me today."
Phoebe,"You mean the—Okay by siadic, you mean the towel covered portion."
Rick,Yeah.
Phoebe,"Sure, yeah, no I can do that, yeah, because umm, y'know, the muscles in the siadic area can get y’know, real nice and tight. So umm, tell me Rick, how umm, how did you injure the area."
Rick,"Oh, a 16-hour sit-in for Greenpeace."
Phoebe,Oh.
Rick,Ow! Did you just bite me?
Phoebe,No!
Joey,"Please don’t kick Monica and Rachel out, this wasn’t there fault, it was mine. Mr. Treeger:: You want me to kick you guys out instead?"
Joey,"No you can’t do that, where would the chick and the duck live? Mr. Treeger:: You have pets!"
Joey,"Noo-no-no, no, those are nicknames. I’m the chick and Chandler is the duck. Mr. Treeger:: Huh, I would’ve thought it was the other way around."
Joey,"Come on man, just-just let the girls stay, I’ll do whatever you want. Mr. Treeger:: Really? You’ll do anything?"
Joey,"Yeah-yeah, absolutely. Mr. Treeger:: Yeah, I’ve got something you can do."
Joey,"What, what is it? Mr. Treeger:: Can you be my dancing partner?"
Joey,"That’s not, prison lingo, is it? Commercial Break"
Monica,His dancing partner?!
Joey,"Yeah, there’s this superintendent’s dance, the Super Ball. I don’t know, and he wants to impress Marge, this lady super that he’s a crush on."
Rachel,"Well, why doesn’t he practice with a girl?"
Joey,"Well, he’s too shy, he doesn’t thing he’s good enough to dance with girls yet."
Rachel,"Yeah, right, he almost danced me right down that…garbage chute."
Monica,"Oh, would you let it go already?! You’re fine!"
Chandler,Hey.
Rachel,"Hey! So, did you quit?"
Chandler,"No, I almost did, couldn’t leave Ross there without a spotter!"
Monica,"Wait, now so you joined the gym?"
Ross,"And that’s funny, why?"
Rachel,"Oh, umm, I was just y’know working out and umm… Oh, that’s it."
Chandler,"We’re doomed. Okay, they’re gonna take 50 bucks out of our accounts for the rest of our lives. What are we gonna do?"
Monica,"Well, you could actually go to the gym."
Ross,"Or! Or, we could go to the bank, close our accounts and cut them off at the source."
Chandler,You’re a genius!
Joey,"Aww, man, now we won’t be bank buddies!"
Chandler,"Now, there’s two reasons."
Phoebe,Hey.
Phoebe,"Ohh, you guys, remember that cute client I told you about? I bit him."
Rachel,Where?!
Phoebe,On the touchy.
Ross,And that’s not against your oath?!
Phoebe,"No, I know! I-I’m sorry, but the moment I touch him, I just wanna throw out my old oath and take a new, dirty one."
Monica,"Well, next time your massaging him, you should try and distract yourself."
Joey,"Yeah! Yeah! Yeah! Like-like when I’m doing something exciting and I don’t wanna get too excited, I just ahh, y’know try to thing of other things like ah sandwiches, and ah baseball, and ah Chandler!"
Chandler,"Thank you, Joey."
Joey,"No-no, thank you."
Joey,"All right, I’m here, let’s ahh, get this over with. Mr. Treeger:: Okay ahh, well, just ahh, follow my lead."
Joey,"Whoa-whoa, don’t we need to do some kinda preparation first? Like ahh, get really drunk? Mr. Treeger:: Look come on, eh, just ah, just ah, put your arms around me, eh. Mr. Treeger:: Ahhhh! I’m sorry!"
Joey,"No, it’s okay, but if I’m Marge, my breasts are coming out my back. Mr. Treeger:: Ahh, forget it! I’ll never be any good at this, my mom was right, I’m just a big potato with arms, and legs, and a head."
Joey,"Come on man, you’re not a potato. Mr. Treeger:: I’m sure as hell a dancer, it’s no use Marge will never go for me."
Joey,"Come on Treeger, don’t say that. You just ahh, you just need more practice. Here, come on, let’s ahh, let’s try it again. Come on. Plus, it was, it was probably mostly my fault, anyway. I mean, y’know, I’m not really that comfortable dancing with a— We-he!! Hey! Mr. Treeger:: Yeah!"
Monica,"Hey-hey, how goes the dancing? Gay yet?"
Joey,"Ah-ha-ha, you guys owe me big time."
Rachel,What was that?
Joey,What?
Rachel,You just did a little dancy thing.
Joey,No I didn’t.
Monica,Yes you did! You did like a little hop.
Rachel,You are soo enjoying this.
Joey,"No, I’m not! And it wasn’t a hop it was a pademarie."
Monica,You know the words! You are so into this!
Joey,"All right, well maybe I’m enjoying it a little bit. I mean I’m getting pretty good at it."
Rachel,"Ooh, this is soo sweet, Joey our little twinkle-toes."
Joey,"Hey-hey, hold on, this isn’t some kind of like girly dance. All right, it’s like a sport, it’s manly!"
Monica,"All right, then show me some manly moves."
Joey,All right.
Joey,I don’t know how to lead.
Ross,Hello.
Chandler,Hi.
Ross,We’d like to close our accounts. Bank Officer: Close your accounts? Is there some kind of problem?
Ross,No-no.
Chandler,"No, we’d just like to close them. Bank Officer: Okay, Ms. Lambert handles all our closures. Would you come over here please? Ms. Lambert: Hi, I’m Karen."
Chandler,I wanna quit the bank!
Phoebe,"Okay, baseball. Rick, playing baseball. Okay, slides into second, maybe even his pants come down a little… Oh no—wait no, no! No! Okay, all right, sandwiches, sandwiches. Umm, okay, on a plate, maybe Rick’s pants come down a little. No! No! Okay, Chandler! Okay Chandler, ooh, that’s working."
Phoebe,"Chandler’s knees. Chandler’s… ankles. Chandler’s ankle hair. Oh no. Okay, you’re all set."
Rick,"Oh wow! That was amazing, was that really just an hour?!"
Phoebe,Yeah! In… really long hour world.
Rick,What?
Phoebe,"Ugh, okay, I have an enormous crush on you. But because you’re a client, I can’t ask you out, even though you give me y’know, the feeling."
Rick,"Wow! I had no idea! But you know, I could always find another masseuse."
Phoebe,Really?!
Rick,"Yeah, really."
Phoebe,What?
Rick,"Suddenly, I very aware that I’m naked."
Phoebe,"Okay, quit down. Mrs. Potter: Mr. Simon’s been waiting for— Oh my God! Mr. Simon: Why wasn’t I offered that? I’d definitely pay more for that. Mrs. Potter: Phoebe, we have rules here, this isn’t that kind of place."
Phoebe,"Oh yeah, oh and I know, but this isn’t what it looks like, ‘cause Rick is my ahh, husband. Mrs. Potter: Oh really? Well, then you’d better tell his other wife, ‘cause she called three times asking where he is."
Phoebe,"Yes, I will tell her."
Monica,So you didn’t leave the bank?
Ross,"No! And somehow, we ended up with a joint checking account."
Rachel,What are you ever gonna use that for?!
Chandler,To pay for the gym.
Chandler,Hey.
Phoebe,"Hey! So I had a great day, Rick and I really hit it off, and we started making out, and then my boss walked in and fired me for being a whore."
Joey,What?!
Rachel,You got fired?!
Monica,Oh my Gosh!
Phoebe,"It’s so weird, I have never been fired from anything before!"
Rachel,Sweety...
Phoebe,"I just-I just started walking around not knowing what to do next, y’know? I-I started asking people on the street if they wanted massages. Then these policemen, thought I was a whore too. It’s been a really bad day, whore wise. Mr. Treeger:: Hey Duck, is Chick here?"
Chandler,Yeah… Bunny-rabbit.
Joey,"So you ah, ready for our last practice? Mr. Treeger:: Yeah, but y’know, I think the reason we’re not getting that spin right is because my apartment’s too small."
Joey,"Look, you wanna use our place? Mr. Treeger:: No, I ahh, had another idea."
Joey,"We did it!! Mr. Treeger:: I know, we did it!! Hey, that was incredible, huh?!"
Joey,"I know, it was amazing! I mean, we totally nailed it, it was beautiful. Mr. Treeger:: Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball."
Joey,"Oh well, okay, good luck. Mr. Treeger:: Yeah."
Joey,"Unless you wanna practice the Foxtrot again? Or-or the Tango? Mr. Treeger:: Ahh, thanks but no. You see I-I think I’m ready to dance with girls."
Joey,Okay. Mr. Treeger:: Yeah.
Joey,"Go get ‘em Treeger. Mr. Treeger:: Right. Hey, ahh, you wanna come? Marge has a girlfriend."
Joey,"Really? Mr. Treeger:: Yeah, you could dance real good with her, she’s the same size as me."
Joey,"No, I’m good. Closing Credits"
Phoebe,"Yeah, they thought I was a whore."
Phoebe,Great! Thank you very much. End
Ross,"Hello! What's this? Oh right its that girl's phone number. Yeah-yeah, there it is, just a phone number a really hot girl gave me. It's no big deal, I mean it is her home phone number, but... Whoa! Whoa-whoops, I almost lost this baby! Yeah, the lovely Amanda gives me her number and I-I go and drop it."
Phoebe,Thank you. Opening Credits
Gunther,Rachel?
Rachel,Yeah?
Gunther,When's your birthday?
Rachel,"May fifth, why?"
Gunther,"Oh, I-I'm just making a list of people's birthdays."
Ross,"Oh, mine's December..."
Gunther,"Yeah, whatever."
Chandler,"Ohh, she's pretty. Pretty ahh, pretty girl, the pretty--she's pretty."
Monica,"Just go up to her and ask her out. Oh, what's the worst thing that could happen?"
Chandler,I could die.
Ross,"Yeah, it's-it's tough being single. That's why I'm so glad I found Amanda."
Rachel,"Ross, you guys went out once. You took your kids to Chucky Cheese, and you didn't even kiss her."
Chandler,I tell people secrets. It makes them like me.
Phoebe,Oh.
Chandler,Hey!
Monica,"Phoebe! You're sick, you shouldn't play. You should just go home, get in bed, and stay there."
Phoebe,"But I'm unemployed, my music is all I really have now. Well music, and making my own shoes. Pretty, huh?"
Chandler,"All right, I'm gonna do it! I'm gonna get shot down. Any advice?"
Monica,"Just be yourself. But, not too much."
Chandler,Wish me luck.
Ross,Good luck!
Chandler,"Wish it! Hi. Hi, I-I was just sitting over there, and uhh, Chandler. My name is Chandler. Did I say that?"
Kathy,"No, you didn't. Hi, I'm Kathy."
Chandler,"Uh Kathy, with K or a C?"
Kathy,With a K.
Chandler,Oh-oh-hey!
Kathy,Wow! You are really good at this.
Chandler,"Hey, come on, give me a break, I'm out on a limb here."
Kathy,"I'm sorry, you're right, I apologize, but I should tell you that I'm waiting for a date. Oh, and there he is now."
Joey,Hey!
Chandler,"Hey! Hey, hey-hey, hey."
Joey,"Hey, I see you guys already met, huh?"
Chandler,"Yes-yes, I was just trying to figure out a way to uh, demonstrate how I could get my exceptionally large feet into my even bigger mouth."
Joey,Didn't I tell ya? Always showin' off.
Phoebe,"Before I start, I just wanna say that umm, I have a cold, so if I sneeze in the middle of song, it's not on purpose. Oh, except the last verse of Pepper People. Smelly cat, smelly cat. What are they feeding you? This chick sounds good. Smelly cat, smelly-- Hey Gunther, be a good little boy and bring me a whiskey."
Chandler,Hi!
Kathy,Hi.
Chandler,"Jeez, at 2:30 in the morning, I didn't expect to have to fight over the remote."
Kathy,"I'm sorry, it's just this Ernie Cofax thing on in a few minutes I wanted to watch."
Chandler,Oh my God! That's why I got up too!
Kathy,"You're kidding! Oh, I love him."
Chandler,"Hey, listen, I'm sorry about this afternoon, y'know, if I would've known you guys were... I never would've..."
Kathy,Oh please!
Chandler,"So ah, Joey tells me you two met in acting class."
Kathy,"Yeah, they teamed us up as partners. Joey picked three scenes for us to do; all of them had us making out."
Chandler,"That's a good thing actually, because ah, he used to have me rehearse with him."
Kathy,Oh-oh-oh-oh!
Chandler,Is it on?
Kathy,"No, but this wonder broom is amazing!"
Chandler,Hey!
Kathy,Oh my God!
Chandler,Oh! It's on! It's on!
Chandler,There we go little fella.
Kathy,What about the duck?
Chandler,Well the duck can swim.
Kathy,"Oh, jeez."
Phoebe,"My sticky shoes, my sticky-sticky shoes, why do you stick on me, ba-a-by! Thanks for the lights honey."
Monica,That cold makes you sound so great.
Phoebe,"It's fun, God I love how sexy I am."
Joey,"Oh, Kath, we should get going. We're going to by hamsters."
Kathy,"No, no, it's not like that. I, I work for a medical researcher."
Rachel,"Well, have fun!"
Kathy,Okay.
Phoebe,"Well, I think it's great that the medical community is finally trying to help sick hamsters."
Monica,"Y'know what, I like Kathy."
Chandler,"Oh yeah, me too, she's so cool and pretty."
Rachel,"Yeah, she's..."
Chandler,"She's smart and funny, y'know? We were up all last night talking, she said the funniest thing about--what?"
Rachel,You love her.
Chandler,"No, I don't."
Phoebe,"Yes, you do. Chandler loves Kathy."
Ross,"Come on, Pheebs lay off him."
Chandler,"Thank you, Ross."
Ross,"Yeah, he's a little sensitive right now, `cause he's so in love."
Chandler,All right.
Chandler,All right.
Monica,"Ooh, umm, oh Kathy! Kathy, I love you! Oh!"
Phoebe,"So, I need to write some depressing stuff to go along with my new floozy voice, but nothing that sad has ever really happened to me."
Monica,"Oh umm, how about your mom dying, or having to live on the streets when you were 14?"
Phoebe,"Uh-huh. Oh, yeah, I could write about the time my hair did that ""Woo-hoo"" thing."
Ross,Hey!
Monica,Hey!
Phoebe,Hey.
Ross,So I'm going over to Amanda's tonight!
Monica,Rachel's not here.
Ross,Oh.
Monica,How's it going with her?
Ross,"Great, actually. I'm thinking tonight, maybe the night. Yeah, I mean ah, the kids are gonna play together and then when they're asleep, I'm thinking Amanda and I break open a bottle of wine, and do a little ""playing"" ourselves."
Rachel,"Hi guys! This is Josh. Josh, these are my friends, and that's Ross."
Monica,"Hi, Josh."
Phoebe,Hi.
Josh,Dudes.
Monica,
Josh,"Oh, I still do. Next year, I hope to make varsity though."
Rachel,"Ross, didn't you ah, play soccer in High School? Oh no wait, that's right. You just organized their game schedules on your Commodore 64."
Josh,"Well, it's getting late, I've got to get to the game, so I'm gonna... head."
Rachel,Okay. I'll miss you.
Josh,Dope!
Phoebe,"Wow, cute one!"
Monica,Very!
Rachel,"I know, isn't he great? It's so nice to finally be in a fun relationship, y'know? There's nothing boring about him, and ah, I bet he's never set foot in a museum."
Ross,"Well maybe he'll get to go soon, like on a class trip or something."
Rachel,"Y'know what else is really great about him, oh, what is the word for the adult that doesn't have dinosaur toys in their bedroom?"
Ross,Oh!
Rachel,What was that?
Ross,Monica knows.
Monica,"It's this dumb thing that Ross made up `cause he was trying to fool our parents. It's a way of giving the finger, without actually having to give it. I remember I cried the night you made it up, `cause it was the first time that I realized that I was actually cooler than my older brother."
Ross,"Well, I'm gonna go get ready, for my date tonight, so ah, I'll just_ head."
Phoebe,"Yeah, I should go to, `cause I'm playing in one hour. Hey, you guys should come hear me, ooh hear me. Ooh, My sticky shoes--eww! Eww! I lost my sexy phlegm!"
Amanda,Hi!
Ross,Hi!
Amanda,Hi Ben!
Ross,Wow! You-you look great!
Amanda,Thanks!
Ross,Okay! Hey Tommy.
Amanda,I am so glad that you could come over tonight.
Ross,"Oh no-no-no, it's my pleasure."
Amanda,"Okay, well, my cell phone number is right here on the counter, please help yourself to anything in the fridge."
Ross,What?
Amanda,"I appreciate this soo much, I've been trying to go out with this guy for like a month."
Ross,I-I-I...
Amanda,"Oh, I don't mean to be a square, but I'd really appreciate it if you wait and drink your wine after the kids are asleep? Oh uh, thanks for this, I hope I can do the same for you sometime."
Ross,Who wants to make some long distance calls?
Chandler,Kathy! Kathy! Hi!! Kathy! Kathy! Kathy! Fetch! Fetch it! Kathy! Kathy! Kathy! Kathy! Kathy.
Kathy,"Hey, Chandler! What are you doing here?"
Chandler,"Oh, I just wanted to say, ""Hey!"""
Kathy,Hey!
Chandler,Okay. Commercial Break
Monica,Oh come on! You're making it sound worse than it actually was.
Ross,Her date tipped me ten dollars.
Ross,"Pheebs, what are you doing?"
Phoebe,"Okay, I wanna be sexy again so I'm trying to catch a cold. It should be easy, supposedly they're pretty common."
Monica,"Phoebe, you'll catch pneumonia."
Chandler,Okay. You were right. I'm in love with Joey's girlfriend.
Phoebe,What?!
Ross,Are you serious?
Phoebe,"Well, how-how-how is that possible? You barely know her!"
Chandler,"I don't know. I can't--I just, I can't get her out of my head. Y'know? I mean, I'm a very bad person. I'm a very, very bad person. I'm a horrible person. No you're not Chandler! We still love you Chandler!"
