,Speaker,Dialogue
26015,Chandler,Because I’m cooler.
26016,Monica,"No, seriously."
26017,Chandler,"Well she’s, she’s the kinda girl—Joey was unconscious."
26018,Joey,Hey you guys! What’s happening?
26019,Monica,Oh my God!
26020,Phoebe,What is that?
26021,Joey,"Oh, they gave it to me at the sleep clinic, and it’s gonna help me not to snore."
26022,Monica,"Well, are you asleep right now, Joe? ‘Cause I don’t think you have to wear it unless you are!"
26023,Joey,I know I don’t have too! It tastes good.
26024,Chandler,"Plus, you look cool."
26025,Rachel,"Well, I just called Joshua…"
26026,Phoebe,"Oh, how did it go?"
26027,Rachel,"Well, I did my best to convince him that I’m not some crazy girl who is dying to get married—I’m just going through a hard time."
26028,Phoebe,What did he say?
26029,Rachel,"Well uh, his answering machine was very understanding. Ugh. I feel blue."
26030,Monica,"Ohh, sweetie! Hey, I bet you anything that he’s gonna call you again."
26031,Rachel,"Yeah, maybe, but I don’t think I even care. I don’t think he’s the one I’m sad about. Y’know, I know that I said that I am totally okay with Ross getting married, but as it turns out, I don’t think I’m handling it all that well."
26032,Phoebe,"Yeah, maybe."
26033,Rachel,And I-I am just trying to figure out why.
26034,Phoebe,Any luck?
26035,Rachel,"Well, yeah, y’know how Ross and I were on again, off again, on again, off again? I guess I just figured that somewhere down the road, we would be on again."
26036,Monica,Again. Y’know what? I think we all did.
26037,Ross,Hey!
26038,Monica,Hey!
26039,Ross,"So, I got us some reservations for Sunday night, okay? How about, Ernie’s at 9 o’clock?"
26040,Rachel,"Yeah, well, you uh, better make it for three."
26041,Ross,"Oh, see I-I don’t know if we’re gonna be hungry at three."
26042,Rachel,Three people. Joshua’s not gonna be there.
26043,Ross,What happened?
26044,Rachel,"Uh, well, I think, I think he broke up with me."
26045,Ross,Noo. Why?
26046,Rachel,"Well, apparently he scares easy."
26047,Ross,"Oh, Rachel, I’m-I’m sorry."
26048,Rachel,"It’s okay. Sometimes, things don’t work out the way you’d thought they would."
26049,Ross,Come here.
26050,Rachel,"Oh, hey, don’t you have to go pick up Emily?"
26051,Ross,Yeah.
26052,Rachel,Yeah.
26053,Ross,You okay?
26054,Rachel,Yeah! I got my girls.
26055,Rachel,Ugh.
26056,Phoebe,"Hey, y’know what might cheer you up?"
26057,Rachel,What?
26058,Rachel,"Y’know, I gotta tell ya, this really does put in a better mood."
26059,Monica,"Oh, I wish there was a job where I could wear this all the time. Maybe someday, there will be."
26060,Monica,Oh God! He’s gonna come by and borrow some candles for his big date!
26061,Rachel,"Oh, okay!"
26062,Monica,"No-no, Rachel, don’t get it! He can’t see us!"
26063,Phoebe,"No, yeah! The groom cannot see the bride!"
26064,Rachel,I’m not gonna marry Chandler!
26065,Phoebe,Not after this!
26066,Rachel,"Okay, you guys, just relax. I doooo."
26067,Joshua,I gotta go.
26068,Rachel,"Oh, wait, Joshua! Joshua! Yeah, well, that oughta do it. Closing Credits"
26069,Joey,Dude! I am trying to sleep! End
26070,Chandler,Y’know what? It seems like all of the sudden; so much has happened.
26071,Joey,I know. Ross is getting married.
26072,Chandler,"Phoebe is, making people."
26073,Joey,Everybody’s doing stuff!
26074,Chandler,"And we just sit here. I mean if I die the only way people would even know I was here, would be by the ass print on this chair! Look, we have to do something. Okay? Something huge!"
26075,Joey,We could climb Mt. Everest!
26076,Chandler,"No-no, not something stupid, something huge."
26077,Joey,"No-no-no-no-no, I saw an ad for this video, people climb that thing everyday! We could totally do that!"
26078,Chandler,"Why not?! I mean it’s just, it’s just climbing! It’s just, it’s just steep!"
26079,Joey,Yeah!
26080,Chandler,"We’re going to Everest! Okay, it would be nice to leave an ass print on Everest!"
26081,Phoebe,Hey!
26082,Joey,Hey!
26083,Phoebe,What-what’s up?
26084,Joey,We’re gonna climb Mt. Everest!
26085,Chandler,Yeah baby!
26086,Phoebe,"Really?! I looked into that. Yeah, but, I mean it costs like $60,000 and y’know you can die. And, you would die!"
26087,Chandler,"Yeah, well…"
26088,Joey,We could get that Everest video though.
26089,Chandler,"Yeah, we could do that without y’know risking our lives at all!"
26090,Joey,"And while we’re down at the video store, you know what else we could rent? Die Hard! Oh, y’know what? I just remembered, that Everest thing is only available through mail order."
26091,Chandler,"Oh, well…"
26092,Phoebe,So you guys’ll stay here and hang out with me?
26093,Chandler,Yeeeeahhhh.
26094,Joey,Yeah. Yeah.
26095,Chandler,But I’ll tell you something. One of these days we’re get off of our buts and rent Die Hard again!
26096,Joey,Yeah we are! Opening Credits
26097,Emily,So what did he decide? Does your Uncle Nathan get an invite or not?
26098,Ross,"Ohh, God, nobody likes him, and he’s so cheap, he’d never fly to London in a million years. Yeah, invite him? Hey, did I do these neat enough?"
26099,Emily,"Yeah, they’re fine."
26100,Ross,Yeah?
26101,Emily,"If anyone asks, we’ll just say Ben addressed them. Oh! So you invited Rachel then?"
26102,Ross,Sure. Why not?
26103,Emily,Really?
26104,Ross,Yeah?
26105,Emily,I don’t think I’d be comfortable with any of my old lovers there.
26106,Ross,"Wait-wait-wait, do you, do you think, maybe we shouldn’t invite her?"
26107,Emily,"Oh, no-no, y’know I absolutely adore Rachel it’s just that, well it might be a awkward for you. But it’s absolutely your decision. More tea?"
26108,Ross,Yeah sure.
26109,Emily,Earl Grey?
26110,Ross,"Huh? Yeah, fine, invite whoever you want."
26111,Ross,"I don't want to be single, okay? I just... I just- I just wanna be married again!"
26112,Chandler,And I just want a million dollars!
26113,Monica,Rachel?!
26114,Rachel,"Oh God Monica hi! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!"
26115,Monica,"Okay, everybody, this is Rachel, another Lincoln High survivor. This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?"
26116,Rachel,"Hi, sure!"
26117,Ross,Hi.
26118,Ross,"You know you probably didn't know this, but back in high school, I had a, um, major crush on you."
26119,Rachel,I knew.
26120,Ross,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.
26121,Rachel,I did.
26122,Ross,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here—but do you think it would be okay if I asked you out? Sometime? Maybe?"
26123,Rachel,"Yeah, maybe..."
26124,Ross,"Okay... okay, maybe I will..."
26125,Ross,"See, I see.... big passion in your future."
26126,Rachel,Really?
26127,Ross,I do.
26128,Rachel,"Oh Ross, you're so great."
26129,Joey,It's never gonna happen.
26130,Ross,"Hey, I have a question. Well, actually, it's not so much a question as.. more of a general wondering... ment."
26131,Rachel,Okay.
26132,Ross,"Okay. Umm, for a while now, I've been wanting to, um...."
26133,Rachel,Ohhh!!!!
26134,Ross,"Yes, yes, that's right..."
26135,Rachel,"Oh, look at the little cat! Look at it!"
26136,Ross,"What? Ow! Monica, Joey, and Phoebe: I'm on top of the world, looking down on creation and the only explanation I can find..."
26137,Rachel,"All right, listen, missy. If you want this cart, you're gonna have to take me with it!"
26138,Rachel,Yes! Did you see that?
26139,Ross,"You were incredible! Brand new woman, ladies and gentlemen."
26140,Rachel,I could not have done this without you.
26141,Ross,"Ok, um, uh, more clothes in the dryer? I'm fine, I'm fine."
26142,Ross,You had no right to tell me you ever had feelings for me.
26143,Rachel,What?
26144,Ross,I was doing great with Julie before I found out about you.
26145,Rachel,"Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?"
26146,Ross,"The point is I... I don't need this right now, OK. It, it's too late, I'm with somebody else, I'm happy. This ship has sailed."
26147,Rachel,"Alright, fine, you go ahead and you do that, alright Ross."
26148,Ross,Fine.
26149,Rachel,'Cause I don't need your stupid ship.
26150,Ross,Good.
26151,Rachel,Good.
26152,Rachel,Ross do you realise this is the first time in my life I’m doing something I actually care about. This is the first time in my life I’m doing something that I’m actually good at. I mean. if you don’t get that...
26153,Ross,"No, hey, I get that, okay, I get that big time. And I’m happy for ya, but I’m tired of having a relationship with your answering machine! Okay, I don’t know what to do anymore."
26154,Rachel,Well neither do I!
26155,Ross,Is this about Mark?
26156,Rachel,Oh my God.
26157,Ross,"Okay, it’s not, it’s not."
26158,Rachel,"Oh my God. I cannot keep having this same fight over and over again, Ross, no, you’re, you’re, you’re making this too hard."
26159,Ross,"Oh I’m, I’m making this too hard. Okay, what do you want me to do."
26160,Rachel,"I don’t know, I don’t know. Urrrgh! Look, maybe we should take a break."
26161,Ross,"Okay, okay, fine, you’re right. Let’s ah, let’s take a break, let’s cool off, okay, let’s get some frozen yogart, or something.."
26162,Rachel,No. A break from us.
26163,Chloe,Do I know why we’re rushing?
26164,Ross,"Yeah, y'know the ah, the girlfriend I told you about last night? Well it turns out she ah, she wants to get back together with me. Oh, I found it!!"
26165,Chloe,That’s so great for you guys!
26166,Ross,Yeah!
26167,Chloe,"Good luck, with your girlfriend."
26168,Ross,"Oh, thank you. Hey, hey. Rachel!!!!"
26169,Rachel,"Hi. Ohhh, you got my message."
26170,Ross,"Yeah, oh hey, you are right on time."
26171,Rachel,So what do you say? Can I be your girlfriend again?
26172,Ross,"Yes, you can, very much."
26173,Ross,Ahhhh!!
26174,Rachel,"Y'know what, I want you to leave! Get outta here!"
26175,Ross,No!!
26176,Rachel,Just get out! Now!!
26177,Ross,No!! No!! I wanna stay. I wanna talk about this.
26178,Rachel,Okay! All right! How was she?
26179,Chandler,Uh-oh.
26180,Ross,What?
26181,Rachel,Was she good?
26182,Joey,Don’t answer that.
26183,Rachel,"Come on Ross! You said you wanted to talk about it, let’s talk about it!! How was she?"
26184,Ross,She was...
26185,Joey,Awful! Horrible!
26186,Chandler,She was not good. Not good.
26187,Joey,She was nothing compared to you.
26188,Ross,"She, she was different."
26189,Joey,Ewwwww!
26190,Chandler,Uh-oh.
26191,Rachel,Good different?
26192,Ross,Nobody likes change.
26193,Ross,"What? Okay, okay, okay, okay."
26194,Rachel,"...the way you owned up to everything, it just showed me how much you’ve grown. Y'know? I mean my Mom never thought this would work out. It was all, “Once a cheater, always a cheater.” Ooh, I just wish we hadn’t lost those four months, but if time was what you needed just to gain a little perspective..."
26195,Ross,WE WERE ON A BREAK!!!!!!!
26196,Rachel,You seem to really like her.
26197,Ross,"Yeah, I really do. Yeah, but what am I gonna do, I mean we-we both agreed that it was gonna be a two-week thing, y’know no commitment."
26198,Rachel,"Ross, that girl just spent the entire evening talking to your friends, asking to hear stories about you, looking through Monica’s photo albums, I mean you don’t do that if you’re just in it for two weeks."
26199,Ross,You think?
26200,Rachel,"Yeah, you got like 14 hours until she has to be at the airport, and you’re sitting here in the hallway with a 28-year-old cheerleader with a fat lip."
26201,Ross,"Hey, you’re right."
26202,Rachel,Yeah. Commercial Break
26203,Monica,"Ohh, this is soo amazing! I can’t believe my brother’s getting married! And in London! It’s so romantic!"
26204,Joey,"Hey, pretty smart! Tissue paper! You’re at the wedding, you have to cry, ""Handkerchief?"" ""No-no, I got my invitation."""
26205,Phoebe,"Oooh look! Isn’t this adorable, Ross let Ben address mine!"
26206,Chandler,Hello!
26207,Joey,Hey!
26208,Monica,Hey!
26209,Phoebe,"Hey! Hey, did you get your invitation to Ross’s wedding?"
26210,Chandler,Noo.
26211,Joey,"Don’t worry man, I get to bring a guest. We’ll show him."
26212,Phoebe,I’m so jealous you’re all going! I can’t believe I never knew that you can’t fly in your third trimester!
26213,Chandler,I didn’t know that.
26214,Monica,I never knew that either.
26215,Joey,"I knew that! I sooo didn’t know that, but you should see your faces."
26216,Rachel,Hey guys! What’s up?
26217,Joey,Heyyy.
26218,Monica,We’re hanging out.
26219,Rachel,What’s this? Is this Ross’s wedding invitation?
26220,Chandler,"See, maybe that’s the one we should’ve actually hidden."
26221,Rachel,"Oh, no! No you guys! Come on, you don’t have to do that! I’m happy for him! I am! I really—I’m-I’m happ—I’ll work on it."
26222,Monica,I’m sorry honey.
26223,Rachel,Yeah.
26224,Monica,"Rach, you’re gonna come though aren’t you?"
26225,Rachel,"Oh, honey, I don’t know. I…"
26226,Chandler,"This isn’t one of those uh, y’know ""If she doesn’t come, we-we don’t, we don’t come?"" Right? Because I already bought my ticket…"
26227,Monica,"You know what would be real weird? Is if you weren’t there. Just say you’ll think about it, okay?"
26228,Rachel,"No, I’ll think about it. Yeah."
26229,Rachel,Who's this from?
26230,Chandler,"Oh, that's Ross's."
26231,Rachel,Oh... Oh my God. He remembered.
26232,Phoebe,Remembered what?
26233,Rachel,"It was like months ago. We were walking by this antique store, and I saw this pin in the window, and I told him that it was just like one my grandmother had when I was a little girl. Oh! I can't believe he remembered!"
26234,Phoebe,"Oh, it's so pretty. This must have cost him a fortune."
26235,Monica,I can't believe he did this.
26236,Chandler,"Come on, Ross? Remember back in college, when he fell in love with Carol and bought her that ridiculously expensive crystal duck?"
26237,Rachel,What did you just say?
26238,Chandler,F-hah.... flennin....
26239,Rachel,Oh.... my God.
26240,Rachel,Oh my God.
26241,Julie,"Well, Ross and I were in grad school together."
26242,Ross,"But we haven't seen each other since then. Well I land in China, guess who's in charge of the dig."
26243,Rachel,"Julie! Julie, isn't that great? I mean, isn't that just kick- you-in-the-crotch, spit-on-your-neck fantastic?"
26244,Ross,"Oh, that is so sweet. No, no, ok, you hang up. Ok, ok, one, two, three. Well you didn't hang up either."
26245,Rachel,She didn't hang up either...
26246,Ross,"Ok, no, no, you hang up. You, you, y—"
26247,Rachel,"Ross, hi, it's Rachel. I'm just calling to say that um, everything's fine and I'm really happy for you and your cat......I am over you. I am over you and that, my friend, is what they call closure."
26248,Ross,"Rach, I got a message from you."
26249,Rachel,"Oh my God. Oh my God Ross, no, hang up the phone, give me the phone Ross, give me the phone, give me the phone, give me the. . ."
26250,Ross,You're over me?
26251,Rachel,Ohhhhhhhh God.
26252,Ross,"Wha... you're uh, you're, you're over me?"
26253,Rachel,"Ohh, ohh."
26254,Ross,"When, when were you... under me?"
26255,Rachel,"Well, basically, lately, I've uh, I've uh, sort of had feelings for you."
26256,Ross,"OK, I need to lie down."
26257,Joey,"He broke up with Julie. Well, go hug her, for god's sakes."
26258,Rachel,Really?
26259,Ross,"Really. It's always been you, Rach."
26260,Rachel,"Oh, god. Chandler and Joey: Ohhh."
26261,Ross,"I've no idea, could be. Listen, I'm sorry I had to work tonight."
26262,Rachel,"Oh it's OK. You were worth the wait, and I don't just mean tonight."
26263,Rachel,"Ah, oh God. Oh, honey, oh that's OK."
26264,Ross,"What. Oh no, you just rolled over the juice box."
26265,Ross,"Gunther! Gunther. Gunther, please tell me you didn’t say anything to Rachel about me and the girl from the Xerox place."
26266,Gunther,I’m sorry. Was I not supposed to?
26267,Ross,"Y'know, hey! You’re the one who ended it, remember?"
26268,Rachel,"Yeah, because I was mad at you, not because I stopped loving you!"
26269,Ross,You still love me?
26270,Rachel,Noo.
26271,Ross,"What does this mean? What do you, I mean do you wanna, get back together?"
26272,Rachel,"Noo! Maybe! I, I don’t know."
26273,Ross,What?!
26274,Rachel,"I just, I feel, I-I just..."
26275,Rachel,Y'know I can’t believe I even thought about getting back together again! We are so over!!
26276,Ross,FINE BY ME!!
26277,Rachel,"And hey! Just so you know, it’s not that common! It doesn’t happen to every guy! And it is a big deal!!"
26278,Chandler,I KNEW IT!!!!
26279,Rachel,Oh my God.
26280,Monica,"You know what this is, this is us getting ready for the prom."
26281,Rachel,Oh.
26282,Ross,"You know what, you guys, we don't have to watch this."
26283,Monica,"Shut up, the camera adds ten pounds."
26284,Chandler,"Ahh, so how many cameras are actually on you?"
26285,Monica,"Oh, dad, turn it off. Mr. Geller: It is off. Right Ross?"
26286,Joey,Lookin' good Mr. Cotter.
26287,Rachel,"I can't go to my own prom without a date, I can't, it's too late."
26288,Monica,If you're not going then I don't want to go either. Mrs. Geller: I have a wonderful idea. You should take Rachel to the prom.
26289,Ross,"Y'know what? I think we've seen enough, let's turn it off."
26290,Ross,"OK, fine, well I'm not gonna watch, alright. Mr. Geller: C'mon kid, let's go. Mrs. Geller: Ahh, are you hadsome. Mr. Geller: Let's show 'em."
26291,Ross,"Okay dad. Mr. Geller: Rachel, ready or not, here comes your knight in shining—Oh no. Rachel, Monica, Roy, and Chip: Bye. Mrs. Geller: Oh, dear. Jack, how do I turn this off?"
26292,Monica,I can't believe you did that.
26293,Ross,"Yeah, well."
26294,Phoebe,"See, he's her lobster."
26295,Monica,Nooooo. You’re really not going?
26296,Rachel,"Yeah. It’s just gonna be too hard. Y’know? I mean, it’s Ross. How can I watch him get married? Y’know it’s just, it’s for the best, y’know it is, it’s… Y’know, plus, somebody’s got to stay here with Phoebe! Y’know she’s gonna be pretty big by then, and she needs someone to help her tie her shoes; drive her to the hospital in case she goes into labour."
26297,Monica,You don’t have a car. And your license expired.
26298,Rachel,"I know. Yeah, see, there’s so much to do and I have so little time to do it in. Closing Credits"
26299,Chandler,"All right, check it out. Check this out. It says here that there’s a place you can go to rent videos of all the museums! ""It’s almost as good as being there."""
26300,Joey,It’s better! You can’t go to a museum in your underwear!
26301,Chandler,"Well, You could, but... probably just the one time."
26302,Joey,"I bet we could get videos of all the sites, get a VCR in our hotel room... we'd never even have to go outside!"
26303,Chandler,"If we do that, we gotta get Die Hard."
26304,Joey,Oh-ho! I bet the British version is gooooood! End
26305,Phoebe,That’s like the tenth time I’ve peed since I’ve been here!
26306,Monica,That’s also like the tenth time you told us.
26307,Phoebe,"Yeah, oh I’m sorry, it must be really hard to hear! I tell ya, it’s a lot easier having three babies play Bringing in the Noise, Bringing in da Funk on your bladder! I’m so sick of being pregnant! The only happiness I get is from a cup of coffee, which of course is decaf, ‘cause—Oh! I’m pregnant!"
26308,Ross,"Pheebs, did…you want a cookie?"
26309,Phoebe,Thank you so much.
26310,Rachel,"So uh, Pheebs, honey, how are those mood swings coming?"
26311,Phoebe,I haven’t really had any yet. Opening Credits
26312,Ross,Hey guys!
26313,Chandler,Hey.
26314,Joey,Hey!
26315,Ross,"All right, here’s the ring."
26316,Chandler,"Yes! Yes! A thousand times, yes!"
26317,Ross,"So uh, any ideas for the bachelor party yet?"
26318,Joey,"Whoa-whoa-whoa! Before you start handing out wedding rings and planning bachelor parties, don’t you have to decide who your best man is gonna be?"
26319,Chandler,"Oh, it’s awkward. It’s awkward. It’s awkward."
26320,Ross,I sort’ve already asked Chandler.
26321,Joey,What?! He got to do it at your first wedding!
26322,Ross,"Joey, I figured you’d understand. I mean, I-I’ve known him a lot longer."
26323,Joey,"Come on Ross! Look, I-I don’t have any brothers; I’ll never get to be a best man!"
26324,Chandler,You can be the best man when I get married.
26325,Joey,I’ll never get to be a best man!
26326,Ross,"Wait-wait, so, you get to be my best man twice and I never get to be yours at all?"
26327,Chandler,"Oh no-no-no, you—yeah, of course you get to be my best man."
26328,Joey,What about me?! You-you just said I could!
26329,Chandler,"I’m not even getting married! Okay, this is a question for science fiction writers!"
26330,Joey,I can’t believe you’re not picking me.
26331,Ross,"Hey, how can it not be me?!HeyHey!"
26332,Chandler,I’m not even… I’m not even…
26333,Ross,"Fine, y’know what, that’s it. From now on, Joey, I want you to be my best man."
26334,Joey,Yes! Shame about you man.
26335,Phoebe,Stop it!
26336,Monica,What?
26337,Phoebe,One of the babies is kicking.
26338,Monica,I thought that was a good thing.
26339,Phoebe,"It’s not kicking me, it’s kicking one of the other babies. Oh ! Don’t make me come in there!"
26340,Joey,Hey!
26341,Monica,Hey!
26342,Joey,Do you guys have like a big bowl I can borrow?
26343,Monica,"Yeah, there’s one right under the cabinet."
26344,Joey,Thanks.
26345,Monica,Why do you need it?
26346,Joey,"Oh, we’re having a big party tomorrow night. Later!"
26347,Rachel,"Whoa! Hey-hey, you planning on inviting us?"
26348,Joey,"Nooo, later."
26349,Phoebe,"Hey!! Get your ass back here, Tribbiani!!"
26350,Rachel,Hormones!
26351,Monica,"What Phoebe meant to say was umm, how come you’re having a party and we’re not invited?"
26352,Joey,"Oh, it’s Ross’s bachelor party."
26353,Monica,Sooo?
26354,Joey,Are you bachelors?
26355,Monica,Nooo!
26356,Joey,Are you strippers?
26357,Rachel,Nooo!
26358,Joey,Then you’re not invited.
26359,Rachel,All right fine! You’re not invited to the party we’re gonna have either.
26360,Joey,"Oh-whoa, what party?"
26361,Rachel,Well umm…
26362,Monica,The baby shower for Phoebe!
26363,Joey,Baby shower. Wow! That sounds sooo like something I don’t want to do! Later!
26364,Phoebe,I can’t believe I’m gonna have a party! This is so great! A party! Yay!! I don’t know why.
26365,Joey,"This is what I’ve got going for the party so far, liquor wise. Get a lot of liquor."
26366,Ross,Great. Great.
26367,Joey,"Okay, now uh, in terms of the invite list, I’ve got you, me, and Chandler and I’m gonna invite Gunther ‘cause, well, we’ve been talking about this pretty loud."
26368,Gunther,I’ll be there.
26369,Joey,"All right—oh! Listen, I know this is your party, but I’d really like to the number of museum geeks that are gonna be there."
26370,Ross,"Yeah. Tell ya what, let’s not invite any of the anthropologists, only the dinosaur dudes!"
26371,Joey,Okay! We’ll need a six-pack of Zima.
26372,Chandler,"Hey guys, what are you doing?"
26373,Ross,"Oh, just planning my bachelor party with my best man."
26374,Chandler,"Yeah, well, good luck trying to top the last one."
26375,Ross,"Yeah, see, I don’t think it’s gonna that difficult considering this one won’t be taking place in the basement of a Pizza Hut."
26376,Chandler,"Oh, I’m Ross. I’m Ross. I’m too good for the Hut; I’m too good for the Hut."
26377,Ross,"Look, I gotta go pick up Ben. Everything so far sounds great Joey, just remember to keep it on the mellow side, okay? Just a couple of guys hanging out playing poker, no-no strippers or anything okay?"
26378,Joey,You got it.
26379,Ross,"Okay, see ya later."
26380,Chandler,See ya. Have fun planning your mellow bachelor party.
26381,Joey,"Well, there’s gonna be strippers there. He didn’t say anything about no strippers."
26382,Chandler,"He just said, ""No strippers."""
26383,Joey,"Oh, I chose not to hear that."
26384,Monica,Look what I got! Look what I got! Look what I got! Can you believe they make these for little people?
26385,Rachel,Little village people.
26386,Monica,"Okay, look at this one. This is my favourite."
26387,Rachel,"Oh, that is so sweet!"
26388,Monica,I know! Phoebe is gonna love dressing them in these!
26389,Rachel,"Huh. Except, Phoebe’s not gonna be the one that gets to dress them."
26390,Monica,Because she’s not gonna get to keep the babies.
26391,Rachel,Oh my God! We are throwing the most depressing baby shower ever!
26392,Monica,"Wait a minute! Unless, we give her all gifts she can use after she’s done being pregnant. Like-like umm, regular coffee, Tequila."
26393,Rachel,"Oh, and somebody can get those leather pants she’s always wanted!"
26394,Monica,"Oh, she’s gonna love that!"
26395,Phoebe,"What the hell is this?! What, did you actually thought it would make me feel better to give me stuff that I can’t use for another two months?! This sucks! All right, what’s my next present?!"
26396,Ross,"Hey listen man, about the stripper…"
26397,Joey,Yeah?
26398,Ross,Good call!
26399,Chandler,"Okay, a little announcement, a little announcement. I’ve decided that my best man is, my best friend Gunther!"
26400,Gunther,What’s my last name?
26401,Chandler,Central Perk?
26402,Gunther,Thanks for not marrying Rachel.
26403,Joey,"Oh-whoa-wait, Gunther don’t-don’t forget your shirt."
26404,Ross,"Hey-hey, what are those?"
26405,Joey,"Oh, little party favours, check it out!"
26406,Ross,Wow! Yeah!
26407,Joey,Oh-oh!
26408,Chandler,"Okay, okay, a little announcement, I just want everyone to know that the position of my best man is still open! And uh, so is the position of the bride. The Stripper: Great!"
26409,Ross,"Smooth man. Yeah, you got some chilie on your neck. Well, I just want to say, thanks everyone, this-this was great. And hey! See you guys Monday morning. Thanks Joey."
26410,Joey,"Oh, hey, don’t forget your shirt."
26411,Ross,"Oh, thanks!"
26412,Joey,"Okay, hey, museum geeks, party’s over. Okay. Wave bye-bye to the nice lady. There you go. Back to your parent’s basement. All right. Come on boys, come on out! Here you go. All right. The Stripper: Ohhh, look at the little birdies! Are those yours?"
26413,Joey,"Yeah! The Stripper: Wow, I didn’t know they let you keep chickens and ducks as pets."
26414,Joey,"Oh yeah-yeah. And I got the duck totally trained. Watch this. Stare at the wall. Hardly move. Be white. The Stripper: You are really good at that. So uh, I had fun tonight, you throw one hell of a party."
26415,Joey,"Oh thanks. Thanks. It was great meetin’ ya. And listen if any of my friends gets married, or have a birthday, or a Tuesday… The Stripper: Yeah, that would be great. So I guess umm, good night."
26416,Joey,"Oh unless you uh, you wanna hang around. The Stripper: Yeah?"
26417,Joey,Yeah. I’ll let you play with my duck.
26418,Joey,"Hey, stripper! Commercial Break"
26419,Joey,"The stripper stole the ring!! The stripper stole the ring!! Chandler! Chandler, get up! Get up! The stripper stole the ring!"
26420,Chandler,What?
26421,Joey,The ring is gone!
26422,Chandler,"Ugh. Just a sec, give me a minute to wake up for this—Ah-ha-ha!! You lost the ring! You’re the worst best man ever!"
26423,Joey,"Dude, this isn’t funny! What am I gonna do?! I go to bed last night, everything’s cool! I wake up this morning, the stripper’s gone and the ring is gone!"
26424,Chandler,You slept with the stripper?
26425,Joey,Of course!!
26426,Phoebe,"Hi, guys."
26427,Rachel,Hi! Phoebe.
26428,Monica,Hi Phoebe.
26429,Phoebe,"I-I wanted to apologise if I—y’know seemed a tad edgy yesterday at my shower. Y’know it’s just the hormones, y’know."
26430,Rachel,No we…
26431,Monica,Hormones.
26432,Rachel,"…hormones, yeah."
26433,Phoebe,"Anyway, I just wanted to say thank you, it was just, it was so sweet."
26434,Monica,"Wow, you seem to be doing so much better. That’s great. So how-how are things going?"
26435,Phoebe,"Good. Y’know—no-no, okay, it’s-it feels like everything’s been about me lately, so what’s happening with you?"
26436,Rachel,"Oh, well, actually we were just talking about me not going to Ross’s wedding."
26437,Phoebe,Oh!
26438,Rachel,"It just might be too hard, given the history and all that…"
26439,Phoebe,"Wow! This reminds me of the time when I was umm, living on the street and this guy offered to buy me food if I slept with him."
26440,Rachel,"Well, h-how is this like that?"
26441,Phoebe,"Well, let’s see, it’s not. Really, like that. Because, you see that was an actual problem, and uh, yours is just like y’know a bunch of y’know high school crap that nobody really gives y’know…"
26442,Rachel,"I’m-I’m sorry, I just thought that…"
26443,Phoebe,"Alrighty, here come the water works."
26444,Joey,"Ugh! I don’t know what I’m going to do! I called the company that sent and th-they don’t care! Then I called 9-1-1 and they laughed at me, if this isn’t an emergency, then what is?"
26445,Ross,Hey guys!
26446,Chandler,Hey!
26447,Joey,Hey…
26448,Ross,"I just wanted to thank you again for last night, what a great party! And the guys from work had a blast. Y’know, one of them had never been to a bachelor party before. Yeah! And-and another one had never been to a party before, so…"
26449,Joey,"So uh, hey, that uh, that wedding ring, huh? Man, that’s nice!"
26450,Ross,"Yeah, right!"
26451,Joey,"I was uh, I was thinking I might want to pick one of those babies up for myself, I might want to get one of those…"
26452,Ross,"That ring? When my grandmother first came to this country, that ring and the clothes on her back were all she had with her."
26453,Chandler,"So you might say, the ring is irreplaceable?"
26454,Ross,"Oh absolutely! It has been in my family for generations, and every bride who has worn it has had a long and happy life."
26455,Chandler,"So you might say, it’s a magic ring."
26456,Joey,"Yeah, the stripper stole it."
26457,Ross,My-my ring? My-my wedding ring? The-the stripper stole my wedding ring?! H-how?! How could this all happen?!
26458,Chandler,"Well, I think it all started when you said, ""Hey Joey, why don’t you be my best man."""
26459,Ross,"All right-all right, fine! I-I’m gonna call the cops!"
26460,Joey,"Dude, I screwed up, you don’t have to turn me in!"
26461,Ross,Not on you! On the stripper!
26462,Joey,"Oh, yeah, well I already did that! They said they’re gonna look into it right after they solved all the murders."
26463,Ross,"Okay, well, we’ll call the company that sent her!"
26464,Joey,"I did that too! They wouldn’t give me her real name or her number. They said, ""If I bothered them again they’d call the police."" I said, ""If you talk to the police, you tell them I’m missing a ring!"""
26465,Ross,"So what, Joey? Wh-wh-what? What are you telling me? That there’s nothing we can do? Well, how could this happen?!"
26466,Joey,"Look Ross, I am so-so sorry. I-I-I…"
26467,Chandler,"Well, what if we just ah, called her, used a fake name, and had her come to my office?"
26468,Joey,"Oh, that sounds like fun, but we’ve got a ring to find!!"
26469,Monica,Here’s your tea Phoebe.
26470,Phoebe,"It’s so good. Oh, thanks."
26471,Rachel,Good.
26472,Monica,I’m so glad you liked it.
26473,Phoebe,Oh!
26474,Monica,What?!
26475,Rachel,What?! She made the tea!
